memType,storyIx,sentIx,sent,majorBin,expectedBin,eventOrNot
imagined,1,3,I saw my Grandma who said I liked great as ever.,0.0,0.875,0.875
imagined,1,4,I saw my Grandpa who said I was getting strong.,0.125,0.75,0.75
imagined,1,5,My Aunt looked lovely and thanked me for the compliment.,0.125,0.375,0.5
imagined,1,6,My Uncle still smoked a lot.,0.0,0.375,0.375
imagined,1,7,We had a nice feast.,0.125,0.5,0.625
imagined,1,11,There was a big cake to share with everybody.,0.125,0.375,0.375
imagined,1,13,There was also horseshoes to play.,0.125,0.5,0.625
imagined,1,14,I barely beat my Uncle.,0.0,0.625,0.625
imagined,1,15,We vowed to keep in touch.,0.25,0.375,0.5
recalled,2,2,It was cool to see my grandpa because It's honestly been at least 25 years and since he is handicap it's hard for him to get around.,0.375,0.5,0.625
recalled,2,8,Basically they are the same as I remember just older but they are just as into tech stuff as they were back then.,0.125,0.375,0.375
recalled,2,11,Finally I got to just catch up with some other family members like my cousins and some others who I didn't remember as well cause I was so young back then.,0.25,0.5,0.75
recalled,2,12,This might have been the last time a lot of us get to meet because we all live so far apart and aren't exactly wealthy so we tried to make the most of it.,0.125,0.375,0.375
recalled,2,13,We took a lot of pictures and overall had a great time and we pledged to try and talk over the phone/webcam more often.,0.125,0.5,0.625
retold,3,4,I guess when you're a kid/teen you would rather be doing other stuff but now that I'm an adult I understood the value of it.,0.125,0.375,0.375
retold,3,7,It was really good to see my aunt and uncle again as they are the most similar to myself with our love for technology and in general relaxed personalities.,0.25,0.625,0.75
retold,3,8,I wish I had connected with them much sooner but when my parents divorced people kind of took sides and it was hard to reach over the divide.,0.25,0.375,0.375
retold,3,10,We are all in general bad at communication so hopefully we can keep this up and I will try to take control of it being the youngest.,0.125,0.25,0.25
retold,3,12,I should've been the one to really reconnect us years ago but I was just generally absorbed in the grind of life and my immediate friends/family that I didn't try.,0.125,0.25,0.375
retold,3,13,I will look at my relationships with my distant family and friends more so we stay more connected.,0.25,0.375,0.375
retold,3,14,It was great to write about this again because I feel like this is a different view from the last time since I have been chatting with my family more since the last time I did this.,0.25,0.375,0.5
imagined,3,3,I would consider sending a card wishing them well.,0.0,0.5,0.5
imagined,3,5,i wish them live long and happy.,0.125,0.25,0.375
imagined,3,7,i had a great time in my lifetime.,0.375,0.75,0.75
imagined,3,8,she is my bestie.,0.125,0.375,0.5
imagined,3,9,we had lot of memories.,0.125,0.25,0.25
imagined,3,11,she was very special to me.,0.0,0.125,0.125
imagined,3,12,we are family friends.,0.125,0.25,0.375
imagined,3,14,we had good and bad memories.,0.0,0.375,0.375
imagined,3,15,i am very happy.,0.0,0.25,0.25
imagined,3,16,and proud to have a friend like this.,0.0,0.125,0.125
imagined,3,17,it was very pleasure to share this.,0.125,0.25,0.375
imagined,3,18,still we are very close to each other.,0.0,0.125,0.125
recalled,1,2,I was a bit nervous.,0.0,0.5,0.5
recalled,1,11,She was my rock.,0.125,0.375,0.375
recalled,1,13,Only time would tell how this would turn out.,0.125,0.25,0.25
recalled,1,15,Or would I just fall apart completely.,0.0,0.25,0.25
retold,2,1,"I was happy,sad,scared and unsure all in one.",0.25,0.5,0.625
retold,2,3,It was like i was becoming a new parent.,0.375,0.5,0.625
retold,2,7,"Every time id became a parent,my mom was there by my sidem welcoming my little one with open arms.",0.125,0.375,0.5
retold,2,11,I know that I will cherish these moments as if she were here.,0.25,0.5,0.625
retold,2,12,I know that she is watching us from heaven.,0.25,0.375,0.5
retold,2,13,Protecting us as we live our lives.,0.125,0.375,0.375
retold,2,15,My new baby will never meet you.,0.25,0.5,0.5
imagined,2,6,I learned about how to paint on the street and make sure it isn't easily washed out.,0.375,0.5,0.625
imagined,2,11,"It takes patience because what appears when you paint, and what comes out when it dries are two different images.",0.125,0.25,0.375
imagined,2,13,This was a great experience that opened my eyes to new things.,0.125,0.25,0.375
recalled,1,2,I signed up for the morning shift and arrived a bit early.,0.375,0.625,0.875
recalled,1,3,They had started to paint the street with primer for where the design would be painted.,0.25,0.5,0.625
recalled,1,4,"While I waited for that to be finished, I signed in so that the city could keep track of the amount of volunteer hours that everyone preformed.",0.125,0.625,0.75
recalled,1,8,I went back to get my camera and take a few pictures of the chickens and the beginning of the artwork.,0.25,0.625,0.875
recalled,1,9,I finished taking the pictures and they were ready for me to start helping.,0.25,0.5,0.625
recalled,1,10,I found a paint roller and chose to start with painting the yellow rays of sunlight.,0.25,0.625,0.875
recalled,1,12,"I had wanted to paint a part of the mural that I could come back and say, I did that.",0.125,0.25,0.25
recalled,1,13,I decided to paint the manatee.,0.25,0.5,0.75
recalled,1,16,I directed her to where there were more paint brushes and she soon came back.,0.25,0.625,0.75
recalled,1,19,"When I was finished with the outline, it looked great and everyone was really happy with it.",0.125,0.25,0.375
retold,3,1,I signed up and arrived early.,0.375,0.625,1.0
retold,3,2,They had already started to paint the base coat of white on the street.,0.25,0.625,0.75
retold,3,3,It was my time to help paint.,0.25,0.5,0.625
retold,3,4,I choose to help paint the sun beams.,0.25,0.625,0.875
retold,3,7,I then noticed the manatee.,0.25,0.5,0.625
retold,3,8,I mixed some paint and started to paint it.,0.25,0.5,0.75
retold,3,10,I directed her to where the paint and brushes were located.,0.125,0.375,0.5
retold,3,14,It also made me encouraged o do more  paintings in the future.,0.125,0.25,0.375
imagined,1,2,"I mean, WHO HITS HER KID??!!",0.0,0.125,0.125
imagined,1,5,I just cant get past it.,0.0,0.25,0.25
imagined,1,6,I want mom to say at least she's sorry for it and then maybe we can move on.,0.0,0.25,0.25
imagined,1,7,I can't forgive it right now.,0.0,0.375,0.375
imagined,1,8,"I want her to acknowledge she did something wrong, for once.",0.0,0.25,0.25
imagined,1,9,She never admits anything.,0.125,0.375,0.375
imagined,1,10,She thinks she's right about EVERYTHING!,0.0,0.125,0.125
imagined,1,13,Why do parent's do that.,0.0,0.125,0.125
imagined,1,15,I want our relationship to go back to when we were happy and talking.,0.25,0.375,0.5
recalled,3,3,Everybody keeps saying she changed I should not hold my childhood against her.,0.125,0.25,0.375
recalled,3,8,I remember being so taken a back by what she said I didn't even know how to answer.,0.0,0.25,0.25
recalled,3,9,How could she deny me the information because God forgave her.,0.0,0.25,0.25
recalled,3,10,I wanted to scream What about me the person who all this crap happened too?,0.0,0.375,0.375
recalled,3,12,Its easy for people to say you should forgive when they are not the ones who have been wrong.,0.125,0.375,0.375
recalled,3,13,I have children of my own and I know sometimes parenting is Hard.,0.125,0.375,0.5
recalled,3,14,But I have never wanted to hurt my kids.,0.0,0.375,0.375
recalled,3,15,And when i make a mistake I come back and i say im sorry.,0.0,0.25,0.25
recalled,3,16,Why couldnt she have least done that?,0.0,0.125,0.125
retold,2,1,I smile sometimes and say oh yeah and change the subject other times I ask questions about the so called visit.,0.125,0.25,0.375
retold,2,2,My cousin wants to know if I will let the kids see the kids this time.,0.25,0.375,0.625
retold,2,3,I hate her for asking the question.,0.125,0.25,0.375
retold,2,4,Why should i let her see them why should they know her has she earned the right?,0.25,0.375,0.5
retold,2,5,There are people that say you should forgive and forget .,0.0,0.125,0.125
retold,2,8,I stood there shocked thinking well dont you think you should want forgiveness from me too.,0.0,0.25,0.25
retold,2,9,But of course I got nothing not even a sorry .,0.125,0.25,0.375
retold,2,10,So no she will not be able to see my kids.,0.25,0.375,0.375
retold,2,11,Just so they should be come attached and  maybe become victims of the same abuse I did.,0.125,0.375,0.375
retold,2,15,She always talkes about chursh and loving god but where was that love when i was little.,0.0,0.25,0.25
retold,2,16,Surely god saw what you did to me .,0.0,0.125,0.125
retold,2,18,I wish I wasnt so bitter.,0.0,0.375,0.375
imagined,1,1,It was barely enough income to get by on and not enough for my budget to include savings.,0.0,0.125,0.125
imagined,1,4,"I now sleep in the same park where once I stood looking lovingly at the green earth, the trees, the birds sweetly fluttering.",0.25,0.5,0.625
imagined,1,5,"That park is now a place to hide away from the rest of the world, so like a leper.",0.0,0.125,0.125
imagined,1,6,It seems just yesterday that I'd belonged with those people who come for the fresh open space.,0.0,0.125,0.125
imagined,1,10,"Much of the time I stay huddled far back into the rich foliage, under old blankets and plastic.",0.0,0.25,0.25
imagined,1,11,"I've ceased dreaming and now know only the nightmare of little to no food, warmth, or affection, and all I can feel is fear.",0.0,0.25,0.25
imagined,1,12,I don't understand why this happened to me.,0.0,0.125,0.125
imagined,1,13,I didn't do anything wrong; I just lost my job.,0.0,0.125,0.125
imagined,1,14,"Several losses followed-- my apartment, belongings, my pets, even my friends.",0.25,0.375,0.5
recalled,3,6,I now spend my days working to pay interest to the same people who probably made up the story on how to be happy.,0.125,0.25,0.375
recalled,3,8,"We talked - for hours - about the true meaning of life, its purpose, and what to do when you are unhappy.",0.125,0.375,0.5
recalled,3,12,"Well, at least not if you have a conscious.",0.0,0.125,0.125
retold,2,1,"The days are becoming shorter, cooler.",0.25,0.5,0.75
retold,2,2,Birthdays and holidays are slowly coming into focus.,0.0,0.375,0.375
retold,2,3,The end of the year is near.,0.0,0.375,0.375
retold,2,4,"As always,  I reflect.",0.25,0.5,0.625
retold,2,5,I enjoy January 1st.,0.125,0.25,0.375
retold,2,7,"Yes, I will make promises I will never keep.",0.25,0.375,0.625
retold,2,8,I know who I am though.,0.0,0.125,0.125
recalled,3,0,I recently went on a date with a girl.,0.375,0.625,0.875
recalled,3,4,But she came to visit me.,0.25,0.5,0.75
recalled,3,7,We went out to eat that night.,0.25,0.375,0.625
recalled,3,11,We decided that we wanted to get closer.,0.25,0.375,0.5
retold,1,3,I helped her work the 12 Steps of Alcoholics Anonymous; she worked the Steps on her codependency.,0.125,0.375,0.5
retold,1,4,We kept things 'professional' and friendly for a few months.,0.125,0.375,0.5
retold,1,7,The relationship was taboo in that it's very frowned upon to date a sponsee.,0.125,0.25,0.375
retold,1,8,It is also frowned upon to sponsor someone in a different 12-Step program.,0.125,0.25,0.375
retold,1,10,"It was very difficult to talk about this with anyone because we got very little support, as would be expected.",0.125,0.25,0.375
imagined,2,2,I talked to mom and she said she has been doing well.,0.25,0.625,0.875
imagined,2,3,I talked to father and he told me he caught the biggest fish that week.,0.5,0.625,1.0
imagined,2,12,He got a little mad.,0.25,0.375,0.5
imagined,2,13,He forgave me.,0.25,0.375,0.625
imagined,2,14,We went home with many memories.,0.25,0.5,0.625
recalled,3,9,She was a lovely girl and it was great to meet her.,0.125,0.25,0.375
recalled,3,10,They are still together.,0.125,0.375,0.5
recalled,3,12,My young daughter had a blast also.,0.125,0.5,0.625
recalled,3,13,The last time we all gathered she was very young.,0.125,0.25,0.375
recalled,3,16,The most surprising thing was it hit me how old we all have gotten!,0.25,0.375,0.5
recalled,3,17,There were 4 generations of the family there.,0.0,0.375,0.375
retold,1,1,Jimmy is roughly the same age as my son.,0.25,0.375,0.5
retold,1,2,They grew up together.,0.125,0.25,0.25
retold,1,4,"So Jim would always be around, vacations holidays etc.",0.125,0.375,0.5
retold,1,7,A beautiful lake that the wedding venue looked over.,0.0,0.25,0.25
retold,1,8,We all spent time on the deck drinking and smoking cigars.,0.25,0.625,0.875
retold,1,11,Again the reason it was meaningful to me was it had been 10+ years since I had seen many of the people.,0.125,0.25,0.25
retold,1,14,It was fun for the 3 of us also to dance together.,0.0,0.125,0.125
imagined,1,10,"I remember sharing the story with my Daughter, the promise I made to her grandparents and what it meant to them and me.",0.125,0.5,0.625
imagined,1,15,"I feel inside now a true sense of calm, knowing my family is proud of me, I set a good example for my daughter and my parents can rest.",0.125,0.375,0.5
imagined,1,16,"I told my daughter my life is finally complete, and I feel a true sense of circle and self, and that my parents can finally rest in peace with an oath kept.",0.125,0.25,0.375
recalled,3,14,So many emotions ran through my mind.,0.0,0.25,0.25
recalled,3,22,"When I received my degree, I turned and faced my Wife and yelled: we did it!.",0.25,0.625,0.75
recalled,3,23,She was overcome with emotion as well.,0.0,0.375,0.375
recalled,3,24,My Daughter was next and I waited on stage for her.,0.125,0.75,0.75
retold,2,1,They made sure I got good grades in school and always kept tabs on my progress.,0.125,0.25,0.375
retold,2,13,I felt good though because I knew that my daughter was going to be right by my side.,0.125,0.25,0.25
imagined,3,1,"It was such a beautiful day, and I was & still am so happy that she found her person.",0.25,0.375,0.5
imagined,3,6,As if standing up in front of all those people wasn't enough pressure.,0.125,0.25,0.375
imagined,3,10,"Luckily, our wonderful grandma made it to the wedding that day.",0.375,0.625,0.75
imagined,3,13,"I know it's probably not as big of a deal as I make it out to be, but I've always been prone to anxiety.",0.0,0.375,0.375
imagined,3,14,My cousin is so important to me and I just couldn't stand the thought of ruining her big day.,0.125,0.25,0.375
imagined,3,15,She's waited so long for it.,0.0,0.125,0.125
imagined,3,17,I'm so happy it all worked out in the end.,0.0,0.125,0.125
