hypothesis,type,term
He was at the crossroads of buzzing the stuff all off.,idiom,at the crossroads
"Most men, I've found, especially successful men, will talk about themselves at the drop of a hat.",idiom,at the drop of a hat
It appeared to affect sophie's emotions too and she became irritable at the drop of a hat.,idiom,at the drop of a hat
"By the end of the day, the odds have changed even further, and I'm a total basket case.",idiom,basket case
She's been a basket case.,idiom,basket case
"""My family would not be happy campers all right, I do have a couple more questions,"" said Zachary.",idiom,be happy camper
"Just keep filling up their glasses and smiling, and they 'll be happy campers.",idiom,be happy camper
I'm betwixt and between.,idiom,betwixt and between
"The shiny new tins tacked to the streaked cat-faces of the pines, all facing east to catch the sun.",idiom,catch the sun
catch the sun and amplify it back at her.,idiom,catch the sun
"Well, that was the plump president, the obese owner tex rich, but I'm not one to chew the fat.",idiom,chew the fat
"It was quieter, no students banging on his door, no faculty dropping by to chew the fat.",idiom,chew the fat
I think I crossed the Rubicon when I took this management position.,idiom,cross the rubicon
And it was Jamie with whom I'd cross the rubicon today-not john.,idiom,cross the rubicon
"Since Sam always got good grades and never got in trouble, he was a cuckoo in the nest.",idiom,cuckoo in the nest
What once looked like a fledgling of which they might be proud has turned into a cuckoo in the nest,idiom,cuckoo in the nest
Haven't you ever heard the expression curiosity killed the cat?,idiom,curiosity killed the cat
I pointed out the obvious that I am not a member of the general public but that cut no ice with them.,idiom,cut no ice
"The second dominic and I returned to the vineyard, it was full speed ahead with montgomery wedding plans.",idiom,full speed ahead
It seemed to me the groundwork was now laid and I could get down to brass tacks.,idiom,get down to brass tacks
Should we get down to brass tacks?,idiom,get down to brass tacks
The engrossing conversation turned to a slum clearance project they'd been trying to get off the ground.,idiom,get off the ground
"She figured that she needed $ 30,000 for her venture to get off the ground.",idiom,get off the ground
"Those two get on like a house on fire, nick thought, and then he grimaced at the mental picture the words had painted.",idiom,get on like a house on fire
The atmosphere was very peculiar and they all seem to get on like a house on fire.,idiom,get on like a house on fire
Things only continue to go downhill as my dad fires question after question at him.,idiom,go downhill
What did rory think when things began to go downhill?,idiom,go downhill
"Fame and death go hand in hand, but I want to live.",idiom,go hand in hand
"Thing is, those two sort of go hand in hand.",idiom,go hand in hand
"When the army had bought the property it was considered unsafe, and had pretty much been allowed to go to seed.",idiom,go to seed
If they don't work they go to seed and die young.,idiom,go to seed
"The way that things are going now, everything is going to go to the dogs.",idiom,go to the dogs
"Boy, this party has really gone to the dogs.",idiom,go to the dogs
But if three gyms here in the northwest that just happen to be owned by the same private corporation go up in smoke someone will ask questions.,idiom,go up in smoke
You wouldn't want daddy's campaign to go up in smoke.,idiom,go up in smoke
"Lee had only provided the opening, so he decided to grasp the nettle and see how badly it stung.",idiom,grasp the nettle
"But it was lewis who had mentioned it lee had only provided the opening, so he decided to grasp the nettle and see how badly it stung.",idiom,grasp the nettle
What did you have in mind?,idiom,have in mind
What do you have in mind?,idiom,have in mind
"Tired of being in a rut, I guess.",idiom,in a rut
People get stuck in a rut.,idiom,in a rut
"Leave the marina in broad daylight, making sure not to raise any suspicions.",idiom,in broad daylight
Your coven was on good enough terms with the people in town to risk pulling a knife on someone in broad daylight.,idiom,in broad daylight
"Back at the bakery, preparations for the upcoming weekend of hospitality were in full swing.",idiom,in full swing
When they got there the party was in full swing.,idiom,in full swing
Sometimes he got this look on his face that made you want to run for the hills.,idiom,run for the hill
The journeyman would take one look at him and run for the hills screaming.,idiom,run for the hill
There were so many trust funders who continued to jockey for position in new england society.,idiom,jockey for position
She began to jockey for position with her sister.,idiom,jockey for position
"He's totally trustworthy as an executive secretary, and has been around long enough to know the ropes on occasions like this.",idiom,know the ropes
So we're focusing on recent ex-employees who still know the ropes.,idiom,know the ropes
The man and his story from his pitiable present predicament to what he claimed he had witnessed a long time ago haunted me in the land of nod.,idiom,land of nod
"But when cain slew Abel, he went forth in exile and took his wife from the land of nod.",idiom,land of nod
"But before I just get in the sack with anyone, I lay down the law.",idiom,lay down the law
"That was why she summoned you both in, you and Ashan, to lay down the law",idiom,lay down the law
"He didn't know for certain when she had left the cove, but he was willing to lay odds on the time having been shortly before dawn.",idiom,lay odds
"If we still had the car, I'd get my techs to go over it... because I'd lay odds we might find some new evidence in that case.",idiom,lay odds
"These stupid, spoiled psychopathic teenagers who were killing people left and right.",idiom,left and right
"They rolled down the stairs, knocking people left and right until they bounced off the bottom step and onto the floor.",idiom,left and right
"He called irritably, when we get close to that snarl, stop and lend a hand.",idiom,lend a hand
I guess I can lend a hand.,idiom,lend a hand
