post,class,implicit_class,target
"  "" : jewish harvard professor noel ignatiev wants to abolish the white race via #wr "" "" """,implicit_hate,white_grievance,Jews
is white nationalism an #adl honey pot front ?,implicit_hate,white_grievance,Jews
" jews r an ancient tribe . they do not identify as  "" white "" "" . they actually hate white people ! """,implicit_hate,white_grievance,Jews
another ( ( ( rabbi ) ) ) celebrates the destruction of the white race.it is time to wake up ! #whitegenocide,implicit_hate,white_grievance,Jews
so is the white hating  jew hating cult  the nation of islam . what's your point ?,implicit_hate,white_grievance,Jews
: zuckerberg's dream : the jewish ruled anti-white racist social network .,implicit_hate,white_grievance,Jews
license to kill .. the white race #whitegenocide #thanksjews,implicit_hate,white_grievance,Jews
mass non-white immigration & forced assimilation for white nations is the main priority for world jewry since wwii . #whitegenocide,implicit_hate,white_grievance,Jews
u realize all cultures captured n made slaves  that jew / arabs sold them n that white peopl,implicit_hate,white_grievance,Jews and Arabs
as long as white men allow jews into their midst and to lead them  they will continue to fail their race .,implicit_hate,white_grievance,Jews
if it is so sad why you jews want it for pple of white race ?,implicit_hate,white_grievance,Jews
jews flood white lands with nonwhites while openly calling for white genocide . they even try and silence people who speak out against it .,implicit_hate,white_grievance,Jews
white people are the only people hate crime laws are suppose to apply to . any hate crime committed by any other race likely had jewish victims . only way for them to make the list .,implicit_hate,white_grievance,Jews
you can't be pro white and pro jew  jews will hate you . but you can be pro jew and anti white and jews will adore you !,implicit_hate,white_grievance,Jews
i am already national socialist and we need to rebuild our movement against zionism in the world .. to free the white race !,implicit_hate,white_grievance,Jews
they are not the future . ( ( ( paul krugman ) ) ) gloats over demise of white america,implicit_hate,white_grievance,Jews
israel spies on america to make the first move against the white race via,implicit_hate,white_grievance,Jews
jews should pay reparations to whites for white genocide and holodomor,implicit_hate,white_grievance,Jews
tanstaafl joins me to discuss the jewish agenda to genocide the white race  the #altright  trump  and more !,implicit_hate,white_grievance,Jews
white genocide escalates in south africa  international jew-controlled media remains in silence : via,implicit_hate,white_grievance,Jews
"  "" : jews outraged over diversity is white genocide banner in australia | more : "" "" ; """,implicit_hate,white_grievance,Jews
" are jewish groups going to demand massive non-jewish immigration into israel ? or is  "" diversity "" "" only for the west ? """,implicit_hate,white_grievance,Jews
" how #jews feel about #whitepeople -  "" the white race is the cancer of human history . "" "" - jewess susan sontag #hate #israel #racism """,implicit_hate,white_grievance,Jews
anti-white jew david sirota blocked me when i asked him why israel wasn't taking in any refugees lol,implicit_hate,white_grievance,Jews
by not taking a bold and open stand for white america we ensure ourselves the chains the jews make 4 us !,implicit_hate,white_grievance,Jews
jews and mudslims united against white civilization,implicit_hate,white_grievance,Jews
jews rejoicing at the prospect of the end of the white race,implicit_hate,white_grievance,Jews
jews say whites should love their own demise . for whites to love white life is to hate their own demise . that is hate,implicit_hate,white_grievance,Jews
: south africa white genocide escalates  international jew-controlled media remains in silence,implicit_hate,white_grievance,Jews
