word,word_type,example_1,example_2,index
board,N,Room and board .,He nailed boards across the windows .,2-2
circulate,V,Circulate a rumor .,This letter is being circulated among the faculty .,0-4
hook,V,Hook a fish .,"He hooked a snake accidentally , and was so scared he dropped his rod into the water .",0-1
recreation,N,For recreation he wrote poetry and solved crossword puzzles .,Drug abuse is often regarded as a form of recreation .,1-9
domesticity,N,Making a hobby of domesticity .,A royal family living in unpretentious domesticity .,4-6
acquisition,N,The child 's acquisition of language .,That graphite tennis racquet is quite an acquisition .,3-7
meeting,N,There was no meeting of minds .,The meeting elected a chairperson .,3-1
nude,N,They swam in the nude .,The marketing rule ' nude sells ' spread from verbal to visual mainstream media in the 20th century .,4-4
mark,N,He left an indelible mark on the American theater .,It was in London that he made his mark .,4-8
association,N,Conditioning is a form of learning by association .,Many close associations with England .,7-2
inclination,N,The alkaline inclination of the local waters .,An inclination of his head indicated his agreement .,2-1
glaze,V,Glaze the bread with eggwhite .,The potter glazed the dishes .,0-2
piggyback,V,An amendment to piggyback the current law .,He piggybacked her child so she could see the show .,3-1
pick,V,To pick rags .,Do n't always pick on your little brother .,1-3
belabor,V,Belabor the obvious .,She was belabored by her fellow students .,0-2
bell,V,Bell cows .,Who will bell the cat ?,0-2
tear,N,He took the manuscript in both hands and gave it a mighty tear .,There were big tears rolling down Lisa 's cheeks .,12-3
kill,V,Kill the engine .,He killed the ball .,0-1
analyze,V,Analyze your real motives .,The inspector analyzed the building 's soundness .,0-2
lecture,V,Did you ever lecture at Harvard ?,She lectured to the class about her travels .,3-1
rehearsal,N,A rehearsal will be held the day before the wedding .,He missed too many rehearsals .,1-4
forge,V,We decided to forge ahead with our plans even though our biggest underwriter backed out .,He forged ahead .,3-1
falsity,N,The belief that the world is flat is a falsity .,Argument could not determine its truth or falsity .,9-7
assurance,N,An assurance of help when needed .,His assurance in his superiority did not make him popular .,1-1
branch,N,A branch of Congress .,We have branches in all major suburbs .,1-2
fuzz,N,He tried to clear his head of the whisky fuzz .,Peach fuzz .,9-1
risk,V,I can not risk smoking .,Why risk your life ?,3-1
chemistry,N,The chemistry of indigo .,The chemistry of iron .,1-1
char,N,"“ Among other native delicacies , they give you fresh char . ” .","“ I had to scrub the kitchen today , because the char could n't come ” .",10-11
response,N,This situation developed in response to events in Africa .,His responses have slowed with age .,4-1
excuse,N,That thing is a poor excuse for a gingerbread man . Has n't anyone taught you how to bake ?,He 's a sorry excuse of a doctor .,5-4
bondage,N,He sought release from his bondage to Satan .,A self freed from the bondage of time .,5-5
catch,N,The catch was only 10 fish .,He shared his catch with the others .,1-3
shadiness,N,There 's too much shadiness to take good photographs .,The shadiness of their transactions .,4-1
passage,N,The outward passage took 10 days .,She struggled to play the difficult passages .,2-6
daughter,N,"I already have a son , so I would like to have a daughter .",Her daughter cared for her in her old age .,13-1
hold,V,Please hold a table at Maxim 's .,Hold a table for us at 7:00 .,1-0
banish,V,Banish bad thoughts .,Banish gloom .,0-0
sense,N,A keen musical sense .,A good sense of timing .,3-2
opinion,N,"In my opinion , white chocolate is better than milk chocolate .",I would like to know your opinions on the new systems .,2-6
deed,N,He signed the deed .,I inherited the deed to the house .,3-3
question,N,His claim to the property has come under question .,He obeyed without question .,8-3
distribute,V,The publisher wants to distribute the book in Asia .,The function distributes the values evenly .,4-2
return,V,Return her love .,Return a compliment .,0-0
officer,N,He is an officer of the court .,The club elected its officers for the coming year .,3-4
clutch,V,To clutch power .,She clutched her purse .,1-1
dissipation,N,The dissipation of the mist .,Mindless dissipation of natural resources .,1-1
portfolio,N,He remembered her because she was carrying a large portfolio .,He holds the portfolio for foreign affairs .,9-3
play,N,They gave full play to the artist 's talent .,It was all done in play .,3-5
brush,N,She gave her hair a quick brush .,The dentist recommended two brushes a day .,6-4
rise,N,They asked for a 10 % rise in rates .,The rising of the Holy Ghost .,6-1
studio,N,His studio was cramped when he began as an artist .,You do n't need a studio to make a passport photograph .,1-5
cushion,V,To cushion a blow .,Cushion the blow .,1-0
plenty,N,There was plenty of food for everyone .,It must have cost plenty .,2-4
look,N,A look of triumph .,His look was fixed on her eyes .,1-1
recrudescence,N,A recrudescence of racism .,A recrudescence of the symptoms .,1-1
metadata,N,Most websites contain metadata to tell the computer how to lay the words out on the screen .,A library catalog is metadata because it describes publications .,3-4
streak,N,A streak of wildness .,He has a stubborn streak .,1-4
elapse,V,He allowed a month to elapse before beginning the work .,Several days elapsed before they met again .,5-2
corner,N,He tripled to the rightfield corner .,The southeastern corner of the Mediterranean .,5-2
average,N,He is about average in height .,The snowfall this month is below average .,3-6
replicate,V,"On entering a host cell , a virus will start to replicate .",Replicate the cell .,11-0
wait,V,She used to wait down at the Dew Drop Inn .,Wait here until your car arrives .,3-0
