original,correction
niu,liu
liu,niu
nai,lai
lai,nai
nan,lan
lan,nan
la,na
ne,le
le,ne
nu,lu
lu,nu
ni,li
li,ni
nei,lei
lei,nei
nan,nang
nang,nan
nang,lang
lang,nang
nian,lian
lian,nian
niang,liang
liang,niang
niao,liao
liao,niao
nie,lie
lie,nie
nin,lin
lin,nin
ning,ling
ling,ning
ning,nin
nin,ning
luo,nuo
nuo,luo
shuang,shuan
shuan,shuang
shu,su
su,shu
sha,sa
sa,sha
she,se
se,she
si,shi
shi,si
sui,shui
shui,sui
shan,san
san,sang
sang,san
san,shan
shao,sao
sao,shao
cong,chong
chong,cong
can,cang
cang,can
chen,cheng
cheng,chen
chan,chang
chang,chan
chan,can
can,chan
ci,chi
chi,ci
chu,cu
cu,chu
zi,zhi
zhi,zi
zhao,zao
zao,zhao
zou,zhou
zhou,zou
zui,zhui
zhui,zui
za,zha
zha,za
zheng,zhen
zhen,zheng
zhan,zhang
zhang,zhan
shui,shun
shun,shui
ban,bang
bang,ban
ben,beng
beng,ben
bin,bing
bing,bin
dan,dang
dang,dan
fan,fang
fang,fan
fen,feng
feng,fen
gan,gang
gang,gan
gen,geng
geng,gen
guan,guang
guang,guan
han,hang
hang,han
hen,heng
heng,hen
huan,huang
huang,huan
kang,kan
kan,kang
lang,lan
lan,lang
lin,ling
ling,lin
men,meng
meng,men
min,ming
ming,min
pang,pan
pan,pang
ren,reng
reng,ren
wen,weng
weng,wen
xin,xing
xing,xin
