example_1,example_2
Room and board .,He nailed boards across the windows .
Making a hobby of domesticity .,A royal family living in unpretentious domesticity .
The child 's acquisition of language .,That graphite tennis racquet is quite an acquisition .
There was no meeting of minds .,The meeting elected a chairperson .
They swam in the nude .,The marketing rule ' nude sells ' spread from verbal to visual mainstream media in the 20th century .
Conditioning is a form of learning by association .,Many close associations with England .
The alkaline inclination of the local waters .,An inclination of his head indicated his agreement .
He took the manuscript in both hands and gave it a mighty tear .,There were big tears rolling down Lisa 's cheeks .
An assurance of help when needed .,His assurance in his superiority did not make him popular .
He tried to clear his head of the whisky fuzz .,Peach fuzz .
"“ Among other native delicacies , they give you fresh char . ” .","“ I had to scrub the kitchen today , because the char could n't come ” ."
This situation developed in response to events in Africa .,His responses have slowed with age .
The catch was only 10 fish .,He shared his catch with the others .
There 's too much shadiness to take good photographs .,The shadiness of their transactions .
The outward passage took 10 days .,She struggled to play the difficult passages .
The dissipation of the mist .,Mindless dissipation of natural resources .
He remembered her because she was carrying a large portfolio .,He holds the portfolio for foreign affairs .
They gave full play to the artist 's talent .,It was all done in play .
They asked for a 10 % rise in rates .,The rising of the Holy Ghost .
There was plenty of food for everyone .,It must have cost plenty .
A look of triumph .,His look was fixed on her eyes .
They started at the bottom of the hill .,They did much of their overseas trade in foreign bottoms .
Businessmen of every stripe joined in opposition to the proposal .,They earned their stripes in Kuwait .
He was driving his car like a nut .,I kicked him in the nuts .
He used pressure to stop the bleeding .,The sensitivity of his skin to pressure and temperature was normal .
He 's a shtik crazy .,How did you ever fall for a shtik like that ?
She felt a tremor in her stomach before going on stage .,Did you feel the tremor this morning ?
The city has an excellent natural harbour .,The neighbourhood is a well - known harbour for petty thieves .
The round of the seasons .,The postman 's rounds .
Printing at higher resolution will cause a reduction in performance .,They never did achieve a final resolution of their differences .
The trailer for that movie makes it seem like it would be fun .,"At the end of the day , we put the snowmobiles back on the trailer ."
Guests should never be late to a dinner party .,On Sundays they had a large dinner when they returned from church .
A growth of hair .,The growth of culture .
The buzz of excitement was so great that a formal denial was issued .,The buzz of a bumble bee .
In the old days a policeman walked a beat and knew all his people by name .,A beat of the heart .
The computer had a desktop footprint of 10 by 16 inches .,The footprints of an earlier civilization .
The kick must be synchronized with the arm movements .,A sidecar is a smooth drink but it has a powerful kick .
The weather system of the Pacific is determined by the uninterrupted smoothness of the ocean .,His oily smoothness concealed his guilt from the police .
The house was a mess .,My boss dumped a whole mess of projects on my desk today .
They did n't have much in the way of clothing .,We went our separate ways .
The annual crop of students brings many new ideas .,The latest crop of fashions is about to hit the stores .
Martin 's snatch at the bridle failed and the horse raced away .,Overheard snatches of their conversation .
The entire building complained about the noise .,The building of the bridge will be completed in a couple of weeks .
They had a bitter exchange .,An exchange of cattle for grain .
It was an apology for a meal .,The Apology of Socrates .
He got his wish .,My best wishes .
Her reinstatement to her former office followed quickly .,Many people are unhappy with the sacking of the chief constable and demand his immediate reinstatement .
He gave a speech as part of his installation into the hall of fame .,The telephone installation took only a few minutes .
When England defeated Pakistan it ended a ten - year drought .,Farmers most affected by the drought hope that there may yet be sufficient rain early in the growing season .
There 's no help for it .,I need some help with my homework .
A profession of disagreement .,My father was a barrister by profession .
He welded together some pieces of strip .,She did a strip right in front of everyone .
Limited runway capacity .,He should be retained in his present capacity at a higher salary .
A lace frame .,His starved flesh hung loosely on his once imposing frame .
The drawing of water from the well .,He did complicated pen - and - ink drawings like medieval miniatures .
There 's no weeping at an Irish wake .,The motorboat 's wake capsized the canoe .
From the window he could catch a glimpse of the lake .,He caught only a glimpse of the professor 's meaning .
He published an unexpected attack on my work .,An attack of diarrhea .
The court 's tilt toward conservative rulings .,The tower had a pronounced tilt .
The carpenter who built this room must have lost his square .,64 is the square of 8 .
He practiced the art of sophistication upon reason .,Understanding affine transformations requires considerable mathematical sophistication .
The senators used their muscle to get the party leader to resign .,Muscle consists largely of actin and myosin filaments .
He played the trumps in sequence .,The doctor saw a sequence of patients .
The duke 's fiefdom had been greatly expanded as a reward for his dutiful military service on behalf of the king .,"Most of our company 's computers are standardized , but the IT director allows the employees in his own little fiefdom to specify their own machines ."
This car could be just the ticket for a small family .,Joe will be running on an anti - crime ticket .
It was a long pull but we made it .,He was sidelined with a hamstring pull .
He has a touch of rheumatism .,He longed for the touch of her hand .
The restaurant had an upper class patronage .,Even before noon there was a considerable patronage .
He lived in exile .,She lived as an exile .
He ran to safety .,The reciprocal of safety is risk .
To ask at that particular time was the ultimate in bad taste .,He got a taste of life on the wild side .
It was the deliberation of his act that was insulting .,The deliberations of the jury .
The runners emerged from the trees into his clear vision .,He had a vision of the Virgin Mary .
Gap between income and outgo .,The exploring party went through the high gap in the mountains .
The children acted out a comic piece to amuse the guests .,He sacrificed a piece to get a strategic advantage .
The body of the car was badly rusted .,Administrative body .
Take a right at the corner .,Film rights .
The might have repercussions of unimaginable largeness .,A man distinguished by the largeness and scope of his views .
War is hell .,The hell of battle .
"The floats and horses in the parade were impressive , but the marching bands were really amazing .",She made a parade of her sorrows .
He left the preparation of meals to his wife .,The resolution of one dissonance is often the preparation for another dissonance .
He had the gem set in a ring for his wife .,She 's an absolute gem .
The government must do its part .,Religions in all parts of the world .
"He was a tool , no more than a pawn to her .",I do n't have the right tools to start fiddling around with the engine .
Real life .,It was a heavy play and the actors tried in vain to give life to it .
That 's a load off my mind .,I 'm worried that the load on that transformer will be too high .
An executive or judical office .,During his first year in office .
The embodiment of hope .,A circle was the embodiment of his concept of life .
His date never stopped talking .,The date for pleading .
The linebackers were ready to stop a rush .,Come back after the rush .
